"No.","Time","Source","Destination","Length","RSSI","Protocol","Info"
"21584","194.971291","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2854, FN=0, Flags=.p....F.C"
"21585","194.971485","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2855, FN=0, Flags=.p....F.C"
"21586","194.971498","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2856, FN=0, Flags=.p....F.C"
"21589","194.973320","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2857, FN=0, Flags=.p....F.C"
"21590","194.973346","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2858, FN=0, Flags=.p....F.C"
"21591","194.973353","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2859, FN=0, Flags=.p....F.C"
"21592","194.973359","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2860, FN=0, Flags=.p....F.C"
"21593","194.973365","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2861, FN=0, Flags=.p....F.C"
"21594","194.973371","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2862, FN=0, Flags=.p....F.C"
"21595","194.973377","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2863, FN=0, Flags=.p....F.C"
"21596","194.973383","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2864, FN=0, Flags=.p....F.C"
"21597","194.973390","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2865, FN=0, Flags=.p....F.C"
"21598","194.973396","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2866, FN=0, Flags=.p....F.C"
"21599","194.973434","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2867, FN=0, Flags=.p....F.C"
"21601","194.975214","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2868, FN=0, Flags=.p....F.C"
"21602","194.975229","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2869, FN=0, Flags=.p....F.C"
"21603","194.976781","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2870, FN=0, Flags=.p....F.C"
"21604","194.976794","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2871, FN=0, Flags=.p....F.C"
"21605","194.976802","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2872, FN=0, Flags=.p....F.C"
"21606","194.976809","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2873, FN=0, Flags=.p....F.C"
"21607","194.976826","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2874, FN=0, Flags=.p....F.C"
"21608","194.976833","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2875, FN=0, Flags=.p....F.C"
"21609","194.976841","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2876, FN=0, Flags=.p....F.C"
"21610","194.976847","","a4:42:3b:d2:f7:08","3020","-50 dBm","802.11","QoS Data, SN=2877, FN=0, Flags=.p....F.C"
